OBJECTID,ADDRESS,CITY,STATE,COUNTY,COUNTRY,ZIP,PHONE,NAME
1398,299 2nd St,San Francisco,CA,San Francisco,United States,94105,415-947-0700,Starbucks
1400,55 4th St,San Francisco,CA,San Francisco,United States,94103,415-896-1600,Starbucks
1403,2198 Broadway,Redwood City,CA,San Mateo,United States,94063,650-368-6833,Bob's Courthouse Coffee Shop
1404,3995 24th St,San Francisco,CA,San Francisco,United States,94114,415-826-1118,Starbucks
1405,2813 7th St,Berkeley,CA,Alameda,United States,94710,510-845-5264,Uncommon Cafe
1406,1408 4th St,San Rafael,CA,Marin,United States,94901,415-457-6789,City Cafe
1407,555 12th St,Oakland,CA,Alameda,United States,94607,510-268-9902,It's A Grind
1408,1437 23rd Ave,Oakland,CA,Alameda,United States,94606,510-536-5570,23 Billiard & Cafe
1409,931 23rd St,Richmond,CA,Contra Costa,United States,94804,510-235-9912,Cafe Euro
1410,32340 Alvarado Blvd,Union City,CA,Alameda,United States,94587,510-487-1879,Starbucks
1411,950 Las Gallinas Ave,San Rafael,CA,Marin,United States,94903,415-479-6111,Starbucks
1412,777 Grand Ave,San Rafael,CA,Marin,United States,94901,415-454-2765,Starbucks
1413,5100 Clayton Rd,Concord,CA,Contra Costa,United States,94521,925-687-2544,Renaissance Cafe
1414,1554 1st St,Livermore,CA,Alameda,United States,94550,925-455-5667,Starbucks
1415,6255 College Ave,Oakland,CA,Alameda,United States,94618,510-653-5453,Cold Cafe Coffee
1416,2523 Durant Ave,Berkeley,CA,Alameda,United States,94704,510-540-0707,Sweetheart Cafe
1417,3550 Fruitvale Ave,Oakland,CA,Alameda,United States,94602,510-530-7067,Starbucks
1418,2566 Seminary Ave,Oakland,CA,Alameda,United States,94605,510-568-6196,Seminary Coffee Shop
1419,3902 Washington Blvd,Fremont,CA,Alameda,United States,94538,510-657-1625,Starbucks
1420,14523 Big Basin Way,Saratoga,CA,Santa Clara,United States,95070,408-872-0309,Blue Rock Shoot
1421,14567 Big Basin Way,Saratoga,CA,Santa Clara,United States,95070,408-872-0810,Coffee Grounds
1422,3741 San Pablo Dam Rd,,CA,Contra Costa,United States,94803,510-223-0781,Neighbor's Donuts
1423,2072 Salvio St,Concord,CA,Contra Costa,United States,94520,925-849-0030,Peet's Coffee & Tea
1424,78 S 1st St,San Jose,CA,Santa Clara,United States,95113,408-298-6250,Maui Wowi
